"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"TACC1"	3.55648882040789e-29	0.272799768057439	0.291	0.219	7.53442156603412e-25	"0"	"TACC1"
"CD8A"	1.19446346414335e-28	0.299538554874747	0.425	0.306	2.53047084878768e-24	"0"	"CD8A"
"ANAPC1P1"	2.97296334914282e-27	0.402442716195824	0.303	0.206	6.29822285515906e-23	"0"	"ANAPC1P1"
"CBFB"	5.22840749772455e-27	0.359246424553309	0.274	0.197	1.10763812839295e-22	"0"	"CBFB"
"PPP6R1"	9.32163148037355e-27	0.28658149904539	0.274	0.197	1.97478762911714e-22	"0"	"PPP6R1"
"ARHGEF7"	2.28805197994177e-26	0.307278990044399	0.253	0.183	4.84723811950663e-22	"0"	"ARHGEF7"
"NAA50"	1.09781842866982e-25	0.266086118409489	0.284	0.223	2.32572834113701e-21	"0"	"NAA50"
"CSMD3"	2.99516121358973e-25	0.36964691080832	0.214	0.312	6.34524903098984e-21	"0"	"CSMD3"
"KDM4C"	1.11674666745318e-24	0.252974387167047	0.281	0.21	2.36582781499957e-20	"0"	"KDM4C"
"NCOA2"	4.77495783109666e-23	0.259541380198081	0.279	0.209	1.01157481651783e-18	"0"	"NCOA2"
"MKNK1"	7.07770431072747e-23	0.260730791624208	0.261	0.192	1.49941165822761e-18	"0"	"MKNK1"
"CLDND1"	6.37808406336297e-16	0.256201597046743	0.43	0.371	1.35119710882345e-11	"0"	"CLDND1"
"IL4I1"	4.63213126382629e-12	0.689376533554198	0.27	0.225	9.81317008241599e-08	"0"	"IL4I1"
"HSPA1A"	2.56091761964344e-11	0.364451327000039	0.326	0.273	5.42530397721464e-07	"0"	"HSPA1A"
"ANKRD11"	6.03456407670935e-09	1.18747408113434	0.298	0.258	0.000127842239965088	"0"	"ANKRD11"
"HSPA1L"	4.8386594821109e-08	0.296188108235438	0.261	0.219	0.00102507001128519	"0"	"HSPA1L"
"MCMDC2"	2.35269459252827e-07	0.250172495604574	0.231	0.276	0.00498418349427114	"0"	"MCMDC2"
"GAS5-AS1"	4.13201202785064e-07	0.559095652855984	0.268	0.316	0.00875366748100158	"0"	"GAS5-AS1"
"PPDPF"	2.71384867406202e-06	0.431948037475694	0.261	0.232	0.0574928841600038	"0"	"PPDPF"
"IFITM3"	1.18701178725594e-05	0.43589694428172	0.25	0.31	0.251468447130171	"0"	"IFITM3"
"MINOS1-NBL1"	5.60875411588866e-05	0.360598392583178	0.304	0.3	1	"0"	"MINOS1-NBL1"
"ATP5I"	0.00472327304386878	0.294761759905638	0.218	0.261	1	"0"	"ATP5I"
"CCR7"	0	1.3376665500751	0.778	0.194	0	"1"	"CCR7"
"TCF7"	0	1.29795447501257	0.76	0.181	0	"1"	"TCF7"
"TXK"	0	1.26449550237951	0.622	0.15	0	"1"	"TXK"
"MYC"	0	1.22096978580239	0.52	0.122	0	"1"	"MYC"
"LEF1"	0	1.11719382448323	0.696	0.199	0	"1"	"LEF1"
"LDLRAP1"	0	1.08774316409721	0.603	0.193	0	"1"	"LDLRAP1"
"SELL"	0	1.00769830807009	0.767	0.281	0	"1"	"SELL"
"MAL"	0	0.990560713201403	0.532	0.117	0	"1"	"MAL"
"NOSIP"	0	0.908370770980445	0.694	0.302	0	"1"	"NOSIP"
"PRKCQ-AS1"	0	0.850340570087278	0.584	0.22	0	"1"	"PRKCQ-AS1"
"ABLIM1"	0	0.837938572970063	0.627	0.274	0	"1"	"ABLIM1"
"SERINC5"	0	0.816216470336107	0.648	0.236	0	"1"	"SERINC5"
"EEF1G"	0	0.803366960774038	0.87	0.445	0	"1"	"EEF1G"
"RPS6"	0	0.69729902357936	0.898	0.46	0	"1"	"RPS6"
"LINC00861"	0	0.693868908001324	0.766	0.399	0	"1"	"LINC00861"
"TMEM123"	0	0.689017128286173	0.766	0.407	0	"1"	"TMEM123"
"DGKA"	0	0.676949118980773	0.759	0.408	0	"1"	"DGKA"
"RPL3"	0	0.672954171991034	0.904	0.481	0	"1"	"RPL3"
"LDHB"	0	0.651163902311813	0.874	0.525	0	"1"	"LDHB"
"RPL4"	0	0.651050837649611	0.875	0.497	0	"1"	"RPL4"
"RPL5"	0	0.650427015698374	0.894	0.505	0	"1"	"RPL5"
"RPL32"	0	0.639049673892631	0.703	0.407	0	"1"	"RPL32"
"RPS3"	0	0.637476769297749	0.881	0.478	0	"1"	"RPS3"
"PABPC1"	0	0.629498710291165	0.828	0.461	0	"1"	"PABPC1"
"RPL13"	0	0.598189966345323	0.854	0.429	0	"1"	"RPL13"
"IL7R"	0	0.597768951937785	0.881	0.476	0	"1"	"IL7R"
"RPS4X"	0	0.540972115330385	0.86	0.501	0	"1"	"RPS4X"
"RPL14"	0	0.535850417377598	0.761	0.431	0	"1"	"RPL14"
"RPS2"	0	0.513307729921832	0.766	0.428	0	"1"	"RPS2"
"S1PR1"	0	0.506472649086369	0.587	0.275	0	"1"	"S1PR1"
"RPL19"	0	0.484911344223306	0.788	0.465	0	"1"	"RPL19"
"RPL13A"	0	0.474228780587742	0.849	0.478	0	"1"	"RPL13A"
"RPLP0"	0	0.47394330714843	0.795	0.473	0	"1"	"RPLP0"
"EEF1B2"	0	0.471956275004138	0.736	0.392	0	"1"	"EEF1B2"
"RPL8"	0	0.450887594476464	0.829	0.492	0	"1"	"RPL8"
"RPS5"	1.56368318099438e-306	0.565566883234103	0.772	0.462	3.31266281893659e-302	"1"	"RPS5"
"PLAC8"	1.46813059452947e-303	0.593961455592929	0.623	0.262	3.11023466451068e-299	"1"	"PLAC8"
"RPL11"	1.69915748758033e-301	0.562743225861303	0.748	0.439	3.59966513743893e-297	"1"	"RPL11"
"SNORA33"	3.23036683418047e-301	0.67984195955864	0.675	0.393	6.84353213821133e-297	"1"	"SNORA33"
"RPS12"	3.26712481187352e-299	0.664964692331225	0.678	0.395	6.92140391395405e-295	"1"	"RPS12"
"RPS3A"	2.13496689873653e-295	0.316910048270475	0.644	0.316	4.52292737497333e-291	"1"	"RPS3A"
"RPL10A"	3.41969097640858e-294	0.44207698698345	0.775	0.461	7.24461533352157e-290	"1"	"RPL10A"
"GIMAP7"	9.6665975084836e-293	0.50821764561161	0.816	0.497	2.04786868217225e-288	"1"	"GIMAP7"
"RPS13"	3.28000749507202e-287	0.661600801737778	0.694	0.41	6.94869587831007e-283	"1"	"RPS13"
"RPL18"	1.56210627619994e-278	0.506461626922136	0.741	0.441	3.30932214612956e-274	"1"	"RPL18"
"RPS9"	6.86356647891264e-271	0.46710417552105	0.756	0.455	1.45404655855764e-266	"1"	"RPS9"
"TRABD2A"	4.62734800021747e-270	1.1776925789626	0.395	0.096	9.80303673846071e-266	"1"	"TRABD2A"
"LTB"	6.14988797661439e-270	0.436869013099308	0.757	0.414	1.30285376784576e-265	"1"	"LTB"
"RPS8"	1.59367170872169e-268	0.411862077128022	0.725	0.427	3.37619351492689e-264	"1"	"RPS8"
"TXNIP"	9.90384659787907e-268	0.426105163574931	0.842	0.543	2.09812990176068e-263	"1"	"TXNIP"
"GIMAP1-GIMAP5"	1.92098802606239e-266	0.510476174423627	0.779	0.477	4.06961313321318e-262	"1"	"GIMAP1-GIMAP5"
"KLF2"	1.63839731619818e-265	0.681760974902975	0.512	0.205	3.47094471436583e-261	"1"	"KLF2"
"RASGRP2"	4.55220410000627e-262	0.856832017475974	0.522	0.204	9.64384438586329e-258	"1"	"RASGRP2"
"RPS14"	1.82675786032768e-252	0.569794378429266	0.716	0.449	3.86998652710419e-248	"1"	"RPS14"
"RPS23"	1.04400783423464e-249	0.629738179253627	0.647	0.394	2.2117305968261e-245	"1"	"RPS23"
"GIMAP5"	4.59610174661705e-248	0.507884828289511	0.76	0.461	9.73684155020823e-244	"1"	"GIMAP5"
